WidthRatio,CurvatureWidthProduct,EccentricityRatio,RodSegments,ShellSegments,StiffnessRatio,Geometry,SweepParameter,SweepValue,ShellToRodMeshRatio,FiniteWidthTractionError,CenterlineTractionError,FiniteWidthWarpingError,CenterlineWarpingError,FiniteWidthCurvatureError,CenterlineCurvatureError,FiniteWidthStressError,CenterlineStressError,FiniteWidthForceDefect,FiniteWidthMomentDefect,CenterlineForceDefect,CenterlineMomentDefect,FiniteWidthLocalImprovement
0.04,0.008,0.0,8,9,5.0,single-curvature,EccentricityRatio,0.0,1.125,0.017794991700181038,0.18374158513519276,0.0003829440487000121,0.9999999999999933,0.8976753721189716,0.9999999999997125,0.8976753721189717,0.9999999999997125,6.938893903907228e-18,5.421010862427522e-20,0.0,0.0,10.3254661890808
0.04,0.008,0.25,8,9,5.0,single-curvature,EccentricityRatio,0.25,1.125,0.017717046188008255,0.2054435692644975,0.0004183747330180463,0.9999999999999944,0.8880243689622105,0.9999999999993826,0.8880243689622105,0.9999999999993826,6.938893903907228e-18,1.0842021724855044e-19,0.0,0.0,11.5958138328697
0.04,0.008,0.4,8,9,5.0,single-curvature,EccentricityRatio,0.4,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.5,8,9,5.0,single-curvature,EccentricityRatio,0.5,1.125,0.017631189922076927,0.22686436189170817,0.0004376493089601794,0.9999999999999951,0.8795119652117315,0.9999999999992352,0.8795119652117316,0.9999999999992351,0.0,2.168404344971009e-19,6.938893903907228e-18,0.0,12.867217861889147
0.04,0.008,0.4,2,3,5.0,single-curvature,ShellToRodMeshRatio,1.5,1.5,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,8,9,5.0,single-curvature,ShellToRodMeshRatio,1.125,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,4,8,5.0,single-curvature,ShellToRodMeshRatio,2.0,2.0,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,8,4,5.0,single-curvature,ShellToRodMeshRatio,0.5,0.5,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,8,9,1.0,single-curvature,StiffnessRatio,1.0,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300497383,0.9999999999999946,0.8827935019871571,0.9999999999995659,0.8827935019871571,0.9999999999995659,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,8,9,5.0,single-curvature,StiffnessRatio,5.0,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
0.04,0.008,0.4,8,9,20.0,single-curvature,StiffnessRatio,20.0,1.125,0.01766645906423531,0.21833182374596377,0.0004312745300504531,0.9999999999999949,0.8827935019872989,0.9999999999994595,0.8827935019872989,0.9999999999994595,0.0,0.0,0.0,0.0,12.358550344022447
